zipcode,overall,violent,property,other
23451,12,14,10,11
23452,0,14,0,6
23454,13,14,12,11
23455,12,14,9,12
23456,14,15,13,14
23457,14,15,14,12
23460,12,14,8,15
23461,11,12,15,5
23462,11,14,9,10
23464,14,15,13,12
20105,15,15,15,15
20109,0,12,0,9
20110,10,13,7,12
20111,4,13,0,9
20112,13,12,11,14
20120,15,15,13,15
20121,12,15,8,15
20136,9,12,6,15
20147,15,14,14,15
20148,15,14,15,15
20151,15,15,14,15
20152,15,14,15,15
20155,14,11,14,13
20164,15,15,14,15
20165,15,15,14,15
20169,13,12,15,8
20170,15,15,13,15
20171,15,15,15,15
20175,15,15,14,13
20176,14,15,13,12
20191,15,15,15,15
22003,14,15,11,15
22015,15,15,15,15
